"#",NAME,POS.,HT.,YEAR,HOMETOWN / HIGH SCHOOL,PREVIOUS SCHOOL
0,Shyanne Sellers,G,6' 2'',Jr.,"Aurora, OH / Aurora",
2,Riley Nelson,G,6' 2'',Fr.,"Clarksburg, MD / The Bullis School",
3,Lavender Briggs,G,6' 1'',Gr.,"Provo, UT / Provo",Florida
5,Brinae Alexander,G/F,6' 0'',Gr.,"Murfreesboro, TN / Riverdale",Vanderbilt
11,Jakia Brown-Turner,G,6' 0'',Gr.,"Oxon Hill, MD / Bishop McNamara",NC State
13,Faith Masonius,G/F,6' 1'',Gr.,"Belmar, NJ / Manasquan",
14,Allie Kubek,F,6' 2'',R-Jr.,"Elkton, MD / Sanford School",Towson
15,Zen Nuako,G,5' 6'',Fr.,"Bowie, MD / Plano Senior (TX)",
20,Hawa Doumbouya,C,6' 7'',Fr.,"Bronx, NY / Our Lady of Mount Carmel (MD)",
21,Emma Chardon,F,6' 2'',R-So.,"Geneva, Switzerland / CEC André Chavanne",
24,Bri McDaniel,G,5' 10'',So.,"Chicago, IL / Kenwood Academy",
30,Mary Sareen,G,5' 8'',Fr.,"Wayne, PA / Radnor",
33,Summer Bostock,G,6' 1'',Fr.,"Toronto, Ontario / Kings Christian College",
34,Emily Fisher,G/F,6' 0'',Fr.,"Libertyville, IL / Libertyville",
